Ticker,Stock Name
INVE-B.ST,Investor B
ATCO-A.ST,Atlas Copco A
VOLV-B.ST,AB Volvo B
SAND.ST,Sandvik
ASSA-B.ST,Assa Abloy B
SEB-A.ST,SEB A
SWED-A.ST,Swedbank A
ERIC-B.ST,Ericsson B
SHB-A.ST,Handelsbanken A
HEXA-B.ST,Hexagon B
EVO.ST,Evolution
AZN.ST,AstraZeneca
ALFA.ST,Alfa Laval
EQT.ST,EQT
HM-B.ST,Hennes & Mauritz B
NIBE-B.ST,Nibe Industrier B
ESSITY-B.ST,Essity B
EPI-A.ST,Epiroc A
BOL.ST,Boliden
SAAB-B.ST,Saab B
NDA-SE.ST,Nordea Bank
TELIA.ST,Telia Company
SCA-B.ST,SCA B
SKA-B.ST,Skanska B
TEL2-B.ST,Tele2 B
SKF-B.ST,SKF B
GETI-B.ST,Getinge B
CAST.ST,Castellum
LIFCO-B.ST,Lifco B
INDU-C.ST,Industrivärden C
SAGA-B.ST,Sagax B
BEIJ-B.ST,Beijer Ref B
LUND-B.ST,Lundbergföretagen B
INDT.ST,Indutrade
TREL-B.ST,Trelleborg B
ADDT-B.ST,Addtech B
ALIV-SDB.ST,Autoliv SDB
HOLM-B.ST,Holmen B
BILL.ST,Billerud
AFRY.ST,Afry
FABG.ST,Fabege
WIHL.ST,Wihlborgs Fastigheter
BALD-B.ST,Balder B
AXFO.ST,Axfood
SECU-B.ST,Securitas B
EKTA-B.ST,Elekta B
HUSQ-B.ST,Husqvarna B
AAK.ST,AAK
SSAB-B.ST,SSAB B
ELUX-B.ST,Electrolux B
THULE.ST,Thule Group
SOBI.ST,Swedish Orphan Biovitrum
LOOMIS.ST,Loomis B
MYCR.ST,Mycronic
VITR.ST,Vitrolife
SECT-B.ST,Sectra B
LAGR-B.ST,Lagercrantz Group B
BURE.ST,Bure Equity
HMS.ST,HMS Networks
NEWA-B.ST,New Wave Group B
PEAB-B.ST,Peab B
LATO-B.ST,Latour B
VPLAY-B.ST,Viaplay Group B
WALL-B.ST,Wallenstam B
CORE-B.ST,Corem Property B
DIOS.ST,Diös Fastigheter
HEM.ST,Hemnet Group
CATE.ST,Catena
MTRS.ST,Munters Group
DOM.ST,Dometic Group
SINCH.ST,Sinch
BRAV.ST,Bravida Holding
INTRUM.ST,Intrum
INSTAL.ST,Instalco
BETS-B.ST,Betsson B
VIT-B.ST,Vitec Software B
BONEX.ST,Bonesupport Holding
MIPS.ST,MIPS
NCC-B.ST,NCC B
SWEC-B.ST,Sweco B
ALIG.ST,Alimak Group
GRNG.ST,Gränges
PNDX-B.ST,Pandox B
VOLCAR-B.ST,Volvo Car B
NYF.ST,Nyfosa
HEBA-B.ST,Heba Fastighets B
SBB-B.ST,SBB B
RATO-B.ST,Ratos B
CLA-B.ST,Cloetta B
BMAX.ST,Byggmax Group
SYNSAM.ST,Synsam
RVRC.ST,RevolutionRace
CLAS-B.ST,Clas Ohlson B
KNOW.ST,Knowit
MEKO.ST,Meko
FING-B.ST,Fingerprint Cards B
AMBEA.ST,Ambea